날짜,플랫폼,별점,리뷰,테마
2026-06-22,네이버,5,치즈케이크가 입에서 녹아요. 직접 굽는 디저트라 확실히 다름,디저트
2026-06-22,카카오맵,4,아메리카노 산미 밸런스 좋고 조용해서 작업하기 좋아요,맛
2026-06-23,인스타,5,크로플 겉바속촉 최고. 성수동 디저트 맛집 인정,디저트
2026-06-23,네이버,2,맛은 좋은데 주말에 30분 넘게 기다렸어요. 자리가 너무 적음,대기시간
2026-06-24,카카오맵,5,바닐라라떼 안 달고 딱 좋아요. 우드톤 인테리어 아늑함,분위기
2026-06-25,네이버,4,디저트 가격이 살짝 있지만 퀄리티 생각하면 납득,가격
2026-06-25,인스타,5,사장님이 메뉴 하나하나 설명해주셔서 좋았어요,친절
2026-06-26,카카오맵,3,평일 점심 테이크아웃 줄이 길어요. 회전이 느린 편,대기시간
2026-06-26,네이버,5,자몽에이드 상큼하고 치즈케이크랑 조합 좋아요,맛
2026-06-27,인스타,2,토요일 오후에 갔더니 치즈케이크 품절 + 대기 40분. 두 번 허탕,대기시간
2026-06-28,네이버,5,카공하기 최고. 콘센트 많고 눈치 안 보여서 단골 됨,분위기
2026-06-29,카카오맵,4,크로플이랑 카푸치노 조합 추천. 매장이 깨끗해요,청결
2026-06-30,네이버,5,디저트 쇼케이스 보는 재미가 있어요. 매일 굽는다는 게 진짜임,디저트
2026-07-01,인스타,4,분위기 조용하고 음악 선곡 좋아요. 좌석이 조금만 더 있었으면,분위기
2026-07-01,카카오맵,1,점심시간에 20분 기다리다 포기하고 나왔습니다,대기시간
2026-07-02,네이버,5,치즈케이크 선물 포장해줬는데 반응 최고였어요,친절
2026-07-03,카카오맵,4,커피 가격은 평범한데 디저트가 확실한 강점,가격
2026-07-04,인스타,5,주말 디저트 모임 장소로 딱. 크로플 두 개 시킴,디저트
2026-07-04,네이버,3,맛은 5점인데 주말 웨이팅이 힘들어요. 예약이 됐으면,대기시간
2026-07-05,카카오맵,5,여름 신메뉴 기대돼요. 매장 항상 깔끔하게 관리됨,청결
